ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
421,Test # 1535,10,25,18,2,0,55.55,4,lbw,2,2,0,7,0,3.5,6,1,0,1,Test v Australia,Eden Gardens,11-Mar-01,10
422,Test # 1535,10,26,23,2,0,43.47,4,caught,3,11,3,31,3,2.81,5,4,0,4,Test v Australia,Eden Gardens,11-Mar-01,10
423,Test # 1539,126,346,230,15,2,54.78,4,caught,2,16,1,35,0,2.18,6,1,0,1,Test v Australia,Chennai,18-Mar-01,126
424,Test # 1539,17,27,17,3,0,100,4,caught,4,12,0,43,0,3.58,5,3,0,3,Test v Australia,Chennai,18-Mar-01,17
425,ODI # 1696,35,47,26,6,1,134.61,2,run out,1,-1,-,-,-,-,-,2,0,2,ODI v Australia,Bengaluru,25-Mar-01,35
426,ODI # 1698,32,35,29,6,1,110.34,2,caught,1,10,0,59,0,5.9,6,2,0,2,ODI v Australia,Pune,28-Mar-01,32
427,ODI # 1699,139,197,125,19,0,111.2,2,caught,1,-1,-,-,-,-,-,2,1,2,ODI v Australia,Indore,31-Mar-01,139
428,ODI # 1700,62,68,38,11,0,163.15,2,caught,2,1,0,12,0,12,7,1,1,1,ODI v Australia,Visakhapatnam,03-Apr-01,62
429,ODI # 1701,12,17,15,2,0,80,2,caught,1,10,0,35,3,3.5,5,2,0,2,ODI v Australia,Margao,06-Apr-01,12
430,Test # 1548,74,179,128,12,0,57.81,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v Zimbabwe,Bulawayo,07-Jun-01,74
431,Test # 1548,36,41,49,4,0,73.46,4,not out,4,6,0,23,0,3.83,5,3,0,3,Test v Zimbabwe,Bulawayo,07-Jun-01,36
432,Test # 1549,20,78,46,2,1,43.47,4,bowled,1,4,0,19,1,4.75,5,2,0,2,Test v Zimbabwe,Harare,15-Jun-01,20
433,Test # 1549,69,185,135,9,0,51.11,4,caught,3,1,0,7,0,7,5,4,0,4,Test v Zimbabwe,Harare,15-Jun-01,69
434,ODI # 1729,70,129,70,13,0,100,2,not out,2,-1,-,-,-,-,-,1,0,1,ODI v Zimbabwe,Harare,24-Jun-01,70
435,ODI # 1730,9,42,27,0,0,33.33,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Zimbabwe,Bulawayo,27-Jun-01,9
436,ODI # 1731,81,191,110,8,0,73.63,2,not out,2,2,0,14,0,7,6,1,0,1,ODI v West Indies,Bulawayo,30-Jun-01,81
437,ODI # 1733,122,210,131,12,1,93.12,2,not out,2,2,0,11,0,5.5,6,1,0,1,ODI v West Indies,Harare,04-Jul-01,122
438,ODI # 1734,0,10,4,0,0,0,2,caught,2,-1,-,-,-,-,-,1,0,1,ODI v West Indies,Harare,07-Jul-01,0
439,ODI # 1752,101,209,129,9,0,78.29,2,caught,1,9,0,51,0,5.66,5,2,0,2,ODI v South Africa,Johannesburg,05-Oct-01,101
440,ODI # 1757,38,82,57,5,0,66.66,2,caught,1,4,0,21,0,5.25,5,2,0,2,ODI v South Africa,Centurion,10-Oct-01,38
441,ODI # 1758,-1,-,-,-,-,-,-,-,2,-1,-,-,-,-,-,1,0,1,ODI v Kenya,Bloemfontein,12-Oct-01,-1
442,ODI # 1761,3,24,20,0,0,15,2,bowled,2,-1,-,-,-,-,-,1,1,1,ODI v Kenya,Gqeberha,17-Oct-01,3
443,ODI # 1762,37,68,35,5,0,105.71,2,bowled,2,-1,-,-,-,-,-,1,0,1,ODI v South Africa,East London,19-Oct-01,37
444,ODI # 1764,146,186,132,17,0,110.6,2,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Kenya,Paarl,24-Oct-01,146
445,ODI # 1766,17,49,42,3,0,40.47,2,bowled,1,5,1,27,2,5.4,5,2,0,2,ODI v South Africa,Durban,26-Oct-01,17
446,Test # 1564,155,233,184,23,1,84.23,4,caught,1,7,0,27,0,3.85,5,2,0,2,Test v South Africa,Bloemfontein,03-Nov-01,155
447,Test # 1564,15,60,35,2,0,42.85,4,caught,3,-1,-,-,-,-,-,4,0,4,Test v South Africa,Bloemfontein,03-Nov-01,15
448,Test # 1569,1,10,4,0,0,25,4,caught,2,4,0,22,1,5.5,6,1,0,1,Test v South Africa,Gqeberha,16-Nov-01,1
449,Test # 1569,22,54,45,4,0,48.88,4,not out,4,4,0,10,0,2.5,4,3,0,3,Test v South Africa,Gqeberha,16-Nov-01,22
450,Test # 1574,88,229,144,13,0,61.11,5,caught,2,4,3,4,0,1,5,1,0,1,Test v England,Mohali,03-Dec-01,88
451,Test # 1574,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v England,Mohali,03-Dec-01,-1
452,Test # 1575,103,254,197,12,1,52.28,4,caught,2,10,0,27,1,2.7,5,1,1,1,Test v England,Ahmedabad,11-Dec-01,103
453,Test # 1575,26,87,81,4,0,32.09,4,caught,4,-1,-,-,-,-,-,3,2,3,Test v England,Ahmedabad,11-Dec-01,26
454,Test # 1578,90,263,198,13,0,45.45,4,stumped,2,3,0,19,0,6.33,6,1,1,1,Test v England,Bengaluru,19-Dec-01,90
455,Test # 1578,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v England,Bengaluru,19-Dec-01,-1
456,ODI # 1788,36,71,43,6,0,83.72,2,bowled,1,4,0,23,0,5.75,5,2,1,2,ODI v England,Eden Gardens,19-Jan-02,36
457,ODI # 1792,45,101,60,6,0,75,2,run out,2,6,0,35,0,5.83,6,1,0,1,ODI v England,Cuttack,22-Jan-02,45
458,ODI # 1795,68,110,79,10,0,86.07,1,lbw,2,1,0,8,0,8,6,1,1,1,ODI v England,Chennai,25-Jan-02,68
459,ODI # 1798,87,120,67,13,1,129.85,1,not out,2,3.5,0,17,0,4.43,7,1,1,1,ODI v England,Kanpur,28-Jan-02,87
460,ODI # 1800,18,20,16,3,0,112.5,2,caught,2,9,0,45,1,5,6,1,0,1,ODI v England,Delhi,31-Jan-02,18
461,ODI # 1803,12,22,18,1,1,66.66,2,caught,2,7,0,30,1,4.28,6,1,0,1,ODI v England,Wankhede,03-Feb-02,12
